COD_SISTEMA,COD_MODULO,COD_ROTINA,COD_FUNCIONALIDADE
SCD_WEB_API,auth,usuario_perfil,Listar associações usuário-perfil
SCD_WEB_API,auth,usuario_perfil,Associar perfil ao usuário
SCD_WEB_API,auth,users,Listar usuários
SCD_WEB_API,auth,perfil_funcionalidade,Listar associações perfil-funcionalidade
SCD_WEB_API,auth,perfil_funcionalidade,Associar funcionalidade ao perfil
SCD_WEB_API,auth,perfis,Criar perfil
SCD_WEB_API,channel,types_activities,Cadastrar tipo de atividade
SCD_WEB_API,channel,sales_channels,Cadastrar canal de venda
SCD_WEB_API,channel,recharge_limits,Cadastrar limite de recarga
SCD_WEB_API,creditrequest,pedidos,Buscar pedidos
SCD_WEB_API,initializedcards,initialized_cards,Gestão de cartões inicializados
SCD_WEB_API,product,product,Cadastrar produto

SCD_WEB_API,product,technology,Cadastrar tecnologia
SCD_WEB_API,product,technology,Atualizar tecnologia
SCD_WEB_API,product,technology,Buscar tecnologia por código
SCD_WEB_API,product,technology,Listar tecnologias
SCD_WEB_API,product,technology,Ativar tecnologia
SCD_WEB_API,product,technology,Inativar tecnologia
SCD_WEB_API,product,technology,Remover tecnologia

SCD_WEB_API,product,species,Cadastrar espécie
SCD_WEB_API,product,species,Atualizar espécie
SCD_WEB_API,product,species,Buscar espécie por código
SCD_WEB_API,product,species,Listar espécies
SCD_WEB_API,product,species,Ativar espécie
SCD_WEB_API,product,species,Inativar espécie
SCD_WEB_API,product,species,Remover espécie

SCD_WEB_API,product,products_types,Cadastrar tipo de produto
SCD_WEB_API,product,products_types,Atualizar tipo de produto
SCD_WEB_API,product,products_types,Buscar tipo de produto por código
SCD_WEB_API,product,products_types,Listar tipos de produto
SCD_WEB_API,product,products_types,Ativar tipo de produto
SCD_WEB_API,product,products_types,Inativar tipo de produto
SCD_WEB_API,product,products_types,Remover tipo de produto

SCD_WEB_API,product,modality,Cadastrar modalidade
SCD_WEB_API,product,modality,Atualizar modalidade
SCD_WEB_API,product,modality,Buscar modalidade por código
SCD_WEB_API,product,modality,Listar modalidades
SCD_WEB_API,product,modality,Ativar modalidade
SCD_WEB_API,product,modality,Inativar modalidade
SCD_WEB_API,product,modality,Remover modalidade

SCD_WEB_API,product,family,Cadastrar família
SCD_WEB_API,product,family,Atualizar família
SCD_WEB_API,product,family,Buscar família por código
SCD_WEB_API,product,family,Listar famílias
SCD_WEB_API,product,family,Ativar família
SCD_WEB_API,product,family,Inativar família
SCD_WEB_API,product,family,Remover família

SCD_WEB_API,product,fee_fare,Cadastrar tarifa
SCD_WEB_API,product,fee_fare,Atualizar tarifa
SCD_WEB_API,product,fee_fare,Buscar tarifas
SCD_WEB_API,product,fee_fare,Remover tarifa
SCD_WEB_API,product,fee_fare,Cadastrar taxa
SCD_WEB_API,product,fee_fare,Atualizar taxa
SCD_WEB_API,product,fee_fare,Buscar taxas
SCD_WEB_API,product,fee_fare,Remover taxa

SCD_WEB_API,product,family,Atualizar família
SCD_WEB_API,product,family,Buscar família por código
SCD_WEB_API,product,family,Listar famílias
SCD_WEB_API,product,family,Ativar família
SCD_WEB_API,product,family,Inativar família

SCD_WEB_API,channel,types_activities,Cadastrar tipo de atividade
SCD_WEB_API,channel,types_activities,Atualizar tipo de atividade
SCD_WEB_API,channel,types_activities,Buscar tipo de atividade por código
SCD_WEB_API,channel,types_activities,Listar tipos de atividade
SCD_WEB_API,channel,types_activities,Ativar tipo de atividade
SCD_WEB_API,channel,types_activities,Inativar tipo de atividade

SCD_WEB_API,channel,sales_channels,Atualizar canal de venda
SCD_WEB_API,channel,sales_channels,Buscar canal de venda por código
SCD_WEB_API,channel,sales_channels,Listar canais de venda
SCD_WEB_API,channel,sales_channels,Ativar canal de venda
SCD_WEB_API,channel,sales_channels,Inativar canal de venda
SCD_WEB_API,channel,sales_channels,Remover canal de venda

SCD_WEB_API,product,product,Atualizar produto
SCD_WEB_API,product,product,Buscar produto por código
SCD_WEB_API,product,product,Listar produtos
SCD_WEB_API,product,product,Ativar produto
SCD_WEB_API,product,product,Inativar produto
